BookData_needsupdating,"Type (1cancer, 2mental, 3addiction, 4infectious, 5contested)_needsupdating",Disambiguate,Capitalization_Sensitive,Round,Acronym_periods,StigmaWord_PulledOut_needsupdating,Reconciled_Name,Name2,DisambiguatedSynset_Keep,PlottingGroup,Plot,Exclude_disease_from_cleaning_(result_from_folding),Replaced_in_wvmodels_by_weighted_average,Plot_before_folding_in_certain_adj_forms,DiseaseorExtra,Notes,MoreNotes
0,2,,,2,,1,Anorexia,anorectic,,eating disorders,Yes,,,Yes,Disease,,
0,2,,,2,,1,Anorexia,anorexics,,eating disorders,Yes,,,Yes,Disease,,
0,2,,,2,,1,Anorexia,anorectics,,eating disorders,Yes,,,Yes,Disease,,
0,2,,,1,,,Anxiety_Disorder,generalized anxiety disorder,,mental,Yes,,,Yes,Disease,separate out social anxiety (this one in round 2),
0,2,,,2,,,Anxiety_Disorder,anxiety disorder,,mental,Yes,,,Yes,Disease,separate out social anxiety (this one in round 2),
0,2,,,2,,,Anxiety_Disorder,anxiety disorders,,mental,Yes,,,Yes,Disease,separate out social anxiety (this one in round 2),
1,,,,1,,,Arthritis,rheumatoid arthritis,,musculoskeletal,Yes,,,Yes,Disease,,
1,,,,1,,,Arthritis,psoriatic arthritis,,musculoskeletal,Yes,,,Yes,Disease,"*not including arthritic, since it seems to be more a symptom based on w2v similarities",
1,,,,2,,,Arthritis,osteoarthritis,,musculoskeletal,Yes,,,Yes,Disease,,
1,,,,2,,,Arthritis,arthropathy,,musculoskeletal,Yes,,,Yes,Disease,,
1,,,,2,,,Arthritis,arthropathies,,musculoskeletal,Yes,,,Yes,Disease,,
1,,,,2,,,Arthritis,spondylosis,,musculoskeletal,Yes,,,Yes,Disease,,
1,,,,1,,,Asthma,chronic asthmatics,,autoimmune,Yes,,,Yes,Disease,"before ""athsmatic""",
1,,,,1,,,Asthma,chronic asthmatic,,autoimmune,Yes,,,Yes,Disease,"before ""athsmatic""",
1,,,,1,,,Asthma,chronic asthma,,autoimmune,Yes,,,Yes,Disease,"before ""athsma""",
1,,,,2,,,Asthma,asthmatic,,autoimmune,Yes,,,Yes,Disease,"could separate out ""asthmatic"" and ""asthma"" but probbaly too few word counts, and not same idea of stigmatized idnetity as ""depressed"" or ""schoziphrenic,"" for example",
1,,,,2,,,Asthma,asthmatics,,autoimmune,Yes,,,Yes,Disease,,
1,,,,1,,,Atherosclerosis,atherosclerotic vascular disease,,behavioral,Yes,,,Yes,Disease,,
1,,,,1,,,Atherosclerosis,atherosclerosis,,behavioral,Yes,,,Yes,Disease,,
1,,,,1,,,Atherosclerosis,hardening of the arteries,,behavioral,Yes,,,Yes,Disease,,
1,2,,,1,,,Autism,Autism spectrum disorder,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,Autism,Asperger's spectrum disorder,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,Autism,Aspergers spectrum disorder,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,Autism,asperger's disorder,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,Autism,aspergers disorder,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,Autism,autism disorder,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,Autism,asperger's disorder,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,1,Autism,autistic,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,2,,,Autism,autism spectrum,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,2,,,Autism,aspergers spectrum,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,2,,,Autism,spectrum disorder,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,2,,,Autism,asperger's spectrum,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,3,,,Autism,asperger's,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,3,,,Autism,aspergers,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,Autism,pervasive developmental disorder,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,Autism,pathological demand avoidance,,neurodevelopmental,Yes,,,Yes,Disease,,
0,2,,,1,,,Bipolar_disorder,manic depression,,mental,Yes,,,Yes,Disease,make sure do do BEFORE depressive and depresssion,
0,2,,,1,,,Bipolar_disorder,manic-depressive,,mental,Yes,,,Yes,Disease,,
0,2,,,1,,,Bipolar_disorder,manic-depressives,,mental,Yes,,,Yes,Disease,,
0,2,,,1,,,Bipolar_disorder,manic depressives,,mental,Yes,,,Yes,Disease,,
0,2,,,1,,,Bipolar_disorder,manic depressive,,mental,Yes,,,Yes,Disease,,
0,2,,,2,,,Bipolar_disorder,bipolar disorder,,mental,Yes,,,Yes,Disease,,
0,2,,,2,,,Bipolar_disorder,bipolar mood disorder,,mental,Yes,,,Yes,Disease,,
0,2,,,2,,,Bipolar_disorder,bipolar affective disorder,,mental,Yes,,,Yes,Disease,,
0,2,,1,2,1,,Borderline_disorder,B.P.D.,,mental,Yes,,,Yes,Disease,,
0,2,,1,2,,,Borderline_disorder,BPD,,mental,Yes,,,Yes,Disease,,
0,2,,,3,,,Borderline_disorder,borderline personality,,mental,Yes,,,Yes,Disease,,
0,2,,,2,,,Borderline_disorder,borderline personality disorder,,mental,Yes,,,Yes,Disease,,
0,2,,,2,,,Borderline_disorder,borderline syndrome,,mental,Yes,,,Yes,Disease,,
0,2,,,2,,,Borderline_disorder,borderline disorder,,mental,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,Brain cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,Brain-cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,neuroblastoma,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,cancer of brain,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,neoplasm of brain,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,neoplasm of meninges,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,cancer of meninges,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,neoplasm of central nervous system,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,cancer of central nervous system,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,nervous system cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,acoustic neuroma,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,glioblastoma,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,brain tumor,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,brain tumors,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,cancerous brain tumor,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,malignant brain tumor,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,Brain cancers,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,Brain-cancers,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,Neuroblastomas,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,cancers of brain,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,neoplasms of brain,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,neoplasms of meninges,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,cancers of meninges,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,neoplasms of central nervous system,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,cancers of central nervous system,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,nervous system cancers,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,acoustic neuromas,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,glioblastomas,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Brain_cancer,brain tumors,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Breast_cancer,Breast cancers,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Breast_cancer,Breast cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Breast_cancer,Breast-cancers,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Breast_cancer,Breast-cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Breast_cancer,cancer of breast,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Breast_cancer,neoplasm of breast,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Breast_cancer,ductal carcinoma,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Breast_cancer,papillary carcimona,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Breast_cancer,lobular carcinoma,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Breast_cancer,carcinoma of the breast,,cancers,Yes,,,Yes,Disease,,
0,2,,,1,,,Bulimia,bulimia nervosa,,eating disorders,Yes,,,Yes,Disease,,
0,2,,,2,,1,Bulimia,bulimics,,eating disorders,Yes,,,Yes,Disease,,
0,2,,,2,,1,Bulimia,bulimic,,eating disorders,Yes,,,Yes,Disease,,
1,1,,,1,,,Carcinoma,carcinomas,,,No,,,No,Disease,,
1,1,,,1,,,Carcinoma,carcinoma,,,No,,,No,Disease,,
1,,,,1,,,Celiac_disease,Celiac Disease,,autoimmune,Yes,,,Yes,Disease,"do before replacing ""celiac"" anywhere. Contested, but most of contested diseases not in vocab so we just combined into ""Other""",
1,,,,1,,,Celiac_disease,gluten allergy,,autoimmune,Yes,,,Yes,Disease,"Contested, but most of contested diseases not in vocab so we just combined into ""Other""",
1,,,,1,,,Celiac_disease,gluten allergies,,autoimmune,Yes,,,Yes,Disease,"Contested, but most of contested diseases not in vocab so we just combined into ""Other""",
1,,,,1,,,Celiac_disease,non-tropical sprue,,autoimmune,Yes,,,Yes,Disease,"Contested, but most of contested diseases not in vocab so we just combined into ""Other""",
1,,,,1,,,Celiac_disease,gluten enteropathy,,autoimmune,Yes,,,Yes,Disease,"Contested, but most of contested diseases not in vocab so we just combined into ""Other""",
1,,,,1,,,Celiac_disease,gluten-sensitive enteropathy,,autoimmune,Yes,,,Yes,Disease,"Contested, but most of contested diseases not in vocab so we just combined into ""Other""",
1,,,,2,,,Celiac_disease,Celiac,,autoimmune,Yes,,,Yes,Disease,"we decided not to include gluten intolerance. Contested, but most of contested diseases not in vocab so we just combined into ""Other""",
1,,,,2,,,Celiac_disease,Celiacs,,autoimmune,Yes,,,Yes,Disease,"we decided not to include gluten intolerance. Contested, but most of contested diseases not in vocab so we just combined into ""Other""",
1,,,,1,,,Cerebral_palsy,Cerebral palsy,,neurological,Yes,,,Yes,Disease,,
1,1,,,1,,,Cervical_cancer,Cervical cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Cervical_cancer,Cervical cancers,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Cervical_cancer,Cervical-cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Cervical_cancer,Cervical-cancers,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Cervical_cancer,cervix uteri cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Cervical_cancer,cancer of cervix,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Cervical_cancer,neoplasm of cervix,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Cervical_cancer,carcinoma of the cervix,,cancers,Yes,,,Yes,Disease,,
0,4,,,1,,,Chlamydia,Chlamydia,,stis,Yes,,,Yes,Disease,,
1,,,,1,,,Chronic_bronchitis,Chronic bronchitis,,behavioral,Yes,,,Yes,Disease,,
1,,,1,1,,,Chronic_bronchitis,COPD,,behavioral,Yes,,,Yes,Disease,capitalization,
1,,,1,1,1,,Chronic_bronchitis,C.O.P.D.,,behavioral,Yes,,,Yes,Disease,capitalization,
1,,,,1,,,Chronic_bronchitis,Chronic obstructive pulmonary disorder,,behavioral,Yes,,,Yes,Disease,,
1,,,,1,,,Chronic_bronchitis,emphysema,,behavioral,Yes,,,Yes,Disease,,
1,,,,1,,,Chronic_bronchitis,Chronic obstructive pulmonary disease,,behavioral,Yes,,,Yes,Disease,,
1,5,,,1,,,Chronic_fatigue_syndrome,Chronic fatigue syndrome,,contested,Yes,,,Yes,Disease,,
1,5,,,1,,,Chronic_fatigue_syndrome,systemic exertion intolerance disease,,contested,Yes,,,Yes,Disease,,
1,5,,1,1,,,Chronic_fatigue_syndrome,ME-CFS,,contested,Yes,,,Yes,Disease,,
1,5,,1,1,,,Chronic_fatigue_syndrome,ME/CFS,,contested,Yes,,,Yes,Disease,,
1,5,,1,1,1,,Chronic_fatigue_syndrome,M.E.-C.F.S.,,contested,Yes,,,Yes,Disease,,
1,5,,1,1,1,,Chronic_fatigue_syndrome,M.E./C.F.S.,,contested,Yes,,,Yes,Disease,,
1,5,,,1,,,Chronic_fatigue_syndrome,myalgic encephalomyelitis,,contested,Yes,,,Yes,Disease,,
1,5,,,1,,,Chronic_fatigue_syndrome,Chronic fatigue and immune dysfunction syndrome,,contested,Yes,,,Yes,Disease,,
1,5,,1,1,1,,Chronic_fatigue_syndrome,C.F.I.D.S.,,contested,Yes,,,Yes,Disease,,
1,5,,1,1,,,Chronic_fatigue_syndrome,CFIDS,,contested,Yes,,,Yes,Disease,,
1,5,,1,1,1,,Chronic_fatigue_syndrome,C.F.S.,,contested,Yes,,,Yes,Disease,,
1,5,,1,1,,,Chronic_fatigue_syndrome,CFS,,contested,Yes,,,Yes,Disease,,
1,,,,1,,,Cirrhosis,cirrhosis,,behavioral,Yes,,,Yes,Disease,,
1,,,,1,,,Cirrhosis,chronic liver disease,,behavioral,Yes,,,Yes,Disease,,
1,,,,1,,,Cirrhosis,alcoholic liver disease,,behavioral,Yes,,,Yes,Disease,do before alcoholic,
1,,,,1,,,Cirrhosis,alcohol-related liver disease,,behavioral,Yes,,,Yes,Disease,,
1,,,,1,,,Cirrhosis,fatty liver disease,,behavioral,Yes,,,Yes,Disease,,
1,,,,1,,,Cleft_palate,Cleft palate,,other,Yes,,,Yes,Disease,,
1,,,,1,,,Cleft_palate,Cleft palates,,other,Yes,,,Yes,Disease,,
1,,,,1,,,Cleft_palate,Craniofacial abnormality,,other,Yes,,,Yes,Disease,,
1,,,,1,,,Cleft_palate,Cleft lips,,other,Yes,,,Yes,Disease,,
1,,,,1,,,Cleft_palate,Cleft lip,,other,Yes,,,Yes,Disease,,
1,,,,1,,,Cleft_palate,craniofacial anomalies,,other,Yes,,,Yes,Disease,,
1,,,,1,,,Cleft_palate,orofacial clefts,,other,Yes,,,Yes,Disease,,
1,,,,1,,,Cleft_palate,orofacial cleft,,other,Yes,,,Yes,Disease,,
1,,,,1,1,,CMT_disease,C.M.T. disease,,genetic,Yes,,,Yes,Disease,,
1,,,,1,,,CMT_disease,CMT disease,,genetic,Yes,,,Yes,Disease,,
1,,,,1,,,CMT_disease,Charcot-Marie-Tooth disease,,genetic,Yes,,,Yes,Disease,,
1,,,,1,,,CMT_disease,hereditary motor and sensory neuropathy,,genetic,Yes,,,Yes,Disease,,
1,,,,1,,,CMT_disease,peroneal muscular atrophy,,genetic,Yes,,,Yes,Disease,,
1,,,,1,,,CMT_disease,Charcot Marie Tooth disease,,genetic,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,Colo-rectal cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,colorectal cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,Colon cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,colorectal-cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,Colon-cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,Rectal cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,cancer of colon,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,cancer of rectum,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,neoplasm of colon,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,neoplasm of rectum,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,rectal carcinoma,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,carcinoma of the colon,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,anal cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,anal-cancer,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,anal-cancers,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,anal cancers,,cancers,Yes,,,Yes,Disease,,
1,1,,,1,,,Colon_Cancer,cancer of the anus,,cancers,Yes,,,Yes,Disease,,
1,,,,1,,,Cystic_fibrosis,mucoviscidosis,,genetic,Yes,,,Yes,Disease,,
1,,,,1,,,Cystic_fibrosis,Cystic fibrosis,,genetic,Yes,,,Yes,Disease,,
1,,,,1,,,Diabetes,Diabetes,,behavioral,Yes,,,Yes,Disease,,
1,,,,1,,1,Diabetes,diabetics,,behavioral,Yes,,,Yes,Disease,,
1,,,,1,,1,Diabetes,diabetic,,behavioral,Yes,,,Yes,Disease,,
0,2,,,1,,,Dissociative_disorder,multiple personality disorder,,mental,Yes,,,Yes,Disease,"do before ""multiple personality""",
0,2,,,1,,,Dissociative_disorder,multiple personalities disorder,,mental,Yes,,,Yes,Disease,"do before ""multiple personalities""",
0,2,,,2,,,Dissociative_disorder,multiple personality,,mental,Yes,,,Yes,Disease,,
0,2,,,2,,,Dissociative_disorder,multiple personalities,,mental,Yes,,,Yes,Disease,,
0,2,,,2,,,Dissociative_disorder,dissociative identity,,mental,Yes,,,Yes,Disease,,
0,2,,,2,,,Dissociative_disorder,dissociative disorder,,mental,Yes,,,Yes,Disease,,
1,,,,1,,,Down_syndrome,Downs syndrome,,neurodevelopmental,Yes,,,Yes,Disease,,
1,,,,1,,,Down_syndrome,Down syndrome,,neurodevelopmental,Yes,,,Yes,Disease,"if going back historically, probaly should include ""mental retardation"" and think about changing stigma",
1,,,,1,,,Down_syndrome,Trisomy-21,,neurodevelopmental,Yes,,,Yes,Disease,,
1,,,,1,,,Down_syndrome,Trisomy 21,,neurodevelopmental,Yes,,,Yes,Disease,,
,,,,1,,,Down_syndrome,mentally retarded,,neurodevelopmental,Yes,,,Yes,Disease,"we added this possible term later, need to reclean certain years tracked in w2v models.xls",
,,,,2,,,Down_syndrome,retarded,,neurodevelopmental,Yes,,,Yes,Disease,"we added this possible term later, need to reclean certain years tracked in w2v models.xls",
,,,,1,,,Down_syndrome,mental retardation,,neurodevelopmental,Yes,,,Yes,Disease,"we added this possible term later, need to reclean certain years tracked in w2v models.xls",
,,,,2,,,Down_syndrome,retardation,,neurodevelopmental,Yes,,,Yes,Disease,"we added this possible term later, need to reclean certain years tracked in w2v models.xls",
,,,,1,,,Down_syndrome,mongoloid,,neurodevelopmental,Yes,,,Yes,Disease,"we added this possible term later, need to reclean certain years tracked in w2v models.xls",
0,3,,,1,,1,Drug_Addict,drug abuser,,addictions,No,,Yes: Drug_Addiction_folded ,No,Disease,"not including colloquial/slang, but if we were, lots of slang here (druggie, cokehead, etc.)",
0,3,,,1,,1,Drug_Addict,drug abusers,,addictions,No,,Yes: Drug_Addiction_folded ,No,Disease,"not including colloquial/slang, but if we were, lots of slang here (druggie, cokehead, etc.)",
0,3,,,1,,1,Drug_Addict,substance abuser,,addictions,No,,Yes: Drug_Addiction_folded ,No,Disease,,
0,3,,,1,,1,Drug_Addict,substance abusers,,addictions,No,,Yes: Drug_Addiction_folded ,No,Disease,,
0,3,,,1,,1,Drug_Addict,drug addicts,,addictions,No,,Yes: Drug_Addiction_folded ,No,Disease,,
0,3,,,1,,1,Drug_Addict,drug addict,,addictions,No,,Yes: Drug_Addiction_folded ,No,Disease,,
0,3,,,1,,1,Drug_Addict,opioid addict,,addictions,No,,Yes: Drug_Addiction_folded ,No,Disease,,
0,3,,,1,,1,Drug_Addict,opioid addicts,,addictions,No,,Yes: Drug_Addiction_folded ,No,Disease,,
0,3,,,1,,1,Drug_Addict,opioid addictions,,addictions,No,,Yes: Drug_Addiction_folded ,Yes,Disease,,
0,3,,,1,,1,Drug_Addict,opioid addiction,,addictions,No,,Yes: Drug_Addiction_folded ,Yes,Disease,,
0,3,,,1,,,Drug_Addiction,drug abuse,,addictions,No,,Yes: Drug_Addiction_folded ,Yes,Disease,consider other drug names with addict*; opioid etc; opioid crisis?,
0,3,,,1,,,Drug_Addiction,drug addiction,,addictions,No,,Yes: Drug_Addiction_folded ,Yes,Disease,,
0,3,,,1,,,Drug_Addiction,drug additions,,addictions,No,,Yes: Drug_Addiction_folded ,Yes,Disease,,
0,3,,,1,,,Drug_Addiction,substance abuse,,addictions,No,,Yes: Drug_Addiction_folded ,Yes,Disease,,
0,3,,,1,,,Drug_Addiction,narcotics abuse,,addictions,No,,Yes: Drug_Addiction_folded ,Yes,Disease,,
0,3,,,1,,,Drug_Addiction,stimulant use disorder,,addictions,No,,Yes: Drug_Addiction_folded ,Yes,Disease,,
0,3,,,1,,,Drug_Addiction,drug dependence,,addictions,No,,Yes: Drug_Addiction_folded ,Yes,Disease,,
0,3,,,1,,,Drug_Addiction,opioid addiction,,addictions,No,,Yes: Drug_Addiction_folded ,Yes,Disease,,
0,3,,,1,,,Drug_Addiction,opiate addiction,,addictions,No,,Yes: Drug_Addiction_folded ,Yes,Disease,,
0,3,,,1,,,Drug_Addiction,substance use disorder,,addictions,No,,Yes: Drug_Addiction_folded ,Yes,Disease,,
1,2,,,1,,1,Dyslexia,dyslexics,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,1,Dyslexia,dyslexic,,neurodevelopmental,Yes,,,Yes,Disease,,
0,2,,,2,,,Eating_disorder,disordered eating,,eating disorders,Yes,,,Yes,Disease,,
0,2,,,2,,,Eating_disorder,eating disorder,,eating disorders,Yes,,,Yes,Disease,,
0,2,,,2,,,Eating_disorder,eating disorders,,eating disorders,Yes,,,Yes,Disease,,
