,Reconciled_Name,Year,count,mean,std,min,CI4%,CI50%,CI96%,max,PlottingGroup,Dimension
450,ALS,1995,25,0.638772082,0.127404188,0.406461334,0.42546657,0.65333689,0.824595387,0.963247787,neurological,stigmaindex
475,ALS,1998,25,0.380916625,0.155242216,0.08612207,0.106922589,0.394764274,0.634405723,0.746976748,neurological,stigmaindex
500,ALS,2001,25,-0.335587534,0.138457249,-0.718298605,-0.543982677,-0.296516307,-0.162891707,-0.127649963,neurological,stigmaindex
525,ALS,2004,25,-0.346348714,0.14492492,-0.704993458,-0.607610709,-0.317333214,-0.164066096,-0.1565722,neurological,stigmaindex
550,ALS,2007,25,-0.262542013,0.145683397,-0.567268809,-0.49056723,-0.274696127,-0.042094444,-0.028988034,neurological,stigmaindex
575,ALS,2010,25,-0.347883241,0.148465304,-0.637872209,-0.546956164,-0.341854043,-0.162347664,-0.028528795,neurological,stigmaindex
600,ALS,2013,25,-0.180210401,0.104093814,-0.37504408,-0.343131609,-0.163539939,-0.030024067,0.040442728,neurological,stigmaindex
625,ALS,2016,25,-0.302075241,0.137559994,-0.526311189,-0.507626535,-0.320132691,-0.058556915,-0.0450259,neurological,stigmaindex
650,Alcoholism,1980,25,1.462892478,0.130947431,1.183435336,1.204251295,1.482273698,1.634979444,1.654568553,addictions,stigmaindex
675,Alcoholism,1983,25,1.347682667,0.110662013,1.040735289,1.170541961,1.362573326,1.511332303,1.573975831,addictions,stigmaindex
700,Alcoholism,1986,25,1.2501986,0.111152202,1.080558077,1.086084686,1.242502898,1.397802004,1.536051854,addictions,stigmaindex
725,Alcoholism,1989,25,1.496118744,0.094266104,1.36384654,1.375688229,1.46639666,1.670180964,1.678328872,addictions,stigmaindex
750,Alcoholism,1992,25,1.662787917,0.080977209,1.432702184,1.540556283,1.675670952,1.773612653,1.813942462,addictions,stigmaindex
775,Alcoholism,1995,25,1.67773204,0.09348846,1.535342813,1.541942706,1.684581369,1.826006734,1.889672935,addictions,stigmaindex
800,Alcoholism,1998,25,1.830583866,0.098540073,1.641214669,1.691640427,1.811457396,2.01962532,2.030055523,addictions,stigmaindex
825,Alcoholism,2001,25,1.804508755,0.107659101,1.512279958,1.672524394,1.799145639,1.981053469,2.034814179,addictions,stigmaindex
850,Alcoholism,2004,25,1.827169294,0.077754251,1.693590254,1.725966247,1.814809442,1.962037675,1.970893085,addictions,stigmaindex
875,Alcoholism,2007,25,1.916823641,0.074855216,1.78197822,1.826896824,1.890605032,2.042735182,2.073573977,addictions,stigmaindex
900,Alcoholism,2010,25,1.878851199,0.091769177,1.741994023,1.766216474,1.873092026,2.057189223,2.098470122,addictions,stigmaindex
925,Alcoholism,2013,25,1.740417954,0.113513891,1.527564332,1.549807169,1.75122565,1.925061858,1.957531035,addictions,stigmaindex
950,Alcoholism,2016,25,1.482214793,0.117813855,1.243128687,1.313796068,1.481969208,1.704885826,1.733831882,addictions,stigmaindex
975,Alpha_One,1980,0,,,,,,,,genetic,stigmaindex
1000,Alpha_One,1983,0,,,,,,,,genetic,stigmaindex
1025,Alpha_One,1986,0,,,,,,,,genetic,stigmaindex
1050,Alpha_One,1989,0,,,,,,,,genetic,stigmaindex
1075,Alpha_One,1992,0,,,,,,,,genetic,stigmaindex
1100,Alpha_One,1995,0,,,,,,,,genetic,stigmaindex
1125,Alpha_One,1998,0,,,,,,,,genetic,stigmaindex
1150,Alpha_One,2001,1,0.344897571,,0.344897571,0.344897571,0.344897571,0.344897571,0.344897571,genetic,stigmaindex
1175,Alpha_One,2004,0,,,,,,,,genetic,stigmaindex
1200,Alpha_One,2007,22,0.622228626,0.305621012,-0.215856046,0.129345792,0.654653859,1.084350661,1.089325771,genetic,stigmaindex
1225,Alpha_One,2010,14,0.41343479,0.29394749,-0.102156833,-0.050603509,0.540120174,0.735876533,0.784151047,genetic,stigmaindex
1250,Alpha_One,2013,4,0.722419594,0.28458774,0.405068332,0.424477515,0.735017512,1.001212838,1.014575019,genetic,stigmaindex
1275,Alpha_One,2016,12,0.324550103,0.18922074,-0.017005391,0.032644687,0.309666796,0.574467628,0.613792285,genetic,stigmaindex
1300,Alzheimer,1980,25,1.294106614,0.212207267,0.896842495,0.962240991,1.303572834,1.629897766,1.642238617,neurological,stigmaindex
1325,Alzheimer,1983,25,0.883415625,0.148206148,0.508918285,0.690023441,0.893277466,1.116754652,1.267902166,neurological,stigmaindex
1350,Alzheimer,1986,25,0.699085355,0.09770497,0.484143961,0.539288308,0.694831349,0.832909812,0.893944487,neurological,stigmaindex
1375,Alzheimer,1989,25,0.470787331,0.127536022,0.24836581,0.272051527,0.47286937,0.685301292,0.74518007,neurological,stigmaindex
1400,Alzheimer,1992,25,-0.002676829,0.11861703,-0.236877389,-0.206874675,-0.014464911,0.186734583,0.282844257,neurological,stigmaindex
1425,Alzheimer,1995,25,-0.090709388,0.081101503,-0.229065567,-0.213271464,-0.093353542,0.045855277,0.05394733,neurological,stigmaindex
1450,Alzheimer,1998,25,-0.090791519,0.079491395,-0.276833209,-0.217571199,-0.086565446,0.025625509,0.026495539,neurological,stigmaindex
1475,Alzheimer,2001,25,-0.378783867,0.089028155,-0.549524166,-0.530651152,-0.396756709,-0.253056301,-0.186187905,neurological,stigmaindex
1500,Alzheimer,2004,25,-0.545496719,0.10549784,-0.810427852,-0.705308279,-0.562676042,-0.391301325,-0.371039839,neurological,stigmaindex
1525,Alzheimer,2007,25,-0.395016876,0.084817011,-0.546452284,-0.521623082,-0.402570337,-0.261598923,-0.244659174,neurological,stigmaindex
1550,Alzheimer,2010,25,-0.357352605,0.105453732,-0.55091916,-0.54284594,-0.355058335,-0.209503362,-0.179732859,neurological,stigmaindex
1575,Alzheimer,2013,25,-0.26962578,0.091426614,-0.539786436,-0.399380819,-0.285959721,-0.154697758,-0.113941349,neurological,stigmaindex
1600,Alzheimer,2016,25,-0.368719319,0.067870519,-0.45527312,-0.447569164,-0.384912595,-0.234466601,-0.228713634,neurological,stigmaindex
1625,Anorexia,1980,25,1.463596149,0.244422805,0.944747304,0.965447158,1.493928194,1.864777665,1.878460765,eating disorders,stigmaindex
1650,Anorexia,1983,25,1.437130988,0.213530851,1.088207331,1.172231029,1.42260474,1.79318504,2.062718064,eating disorders,stigmaindex
1675,Anorexia,1986,25,1.789765544,0.244750801,1.373767793,1.398852499,1.815687463,2.134813379,2.253308624,eating disorders,stigmaindex
1700,Anorexia,1989,25,1.887262934,0.177057781,1.55147548,1.612744802,1.880324572,2.15808242,2.196980387,eating disorders,stigmaindex
1725,Anorexia,1992,25,1.97255305,0.152553989,1.653342456,1.747057136,1.963598877,2.193510408,2.283442974,eating disorders,stigmaindex
1750,Anorexia,1995,25,1.854997845,0.192092793,1.462326914,1.521189529,1.87852329,2.12917634,2.196956635,eating disorders,stigmaindex
1775,Anorexia,1998,25,2.009193861,0.116152493,1.763555169,1.821996312,1.988950491,2.183479824,2.280682564,eating disorders,stigmaindex
1800,Anorexia,2001,25,1.849128983,0.17779535,1.465832144,1.550900556,1.846507788,2.131790394,2.220969766,eating disorders,stigmaindex
1825,Anorexia,2004,25,1.946091043,0.112664542,1.76524514,1.773909848,1.971013367,2.109300801,2.191137701,eating disorders,stigmaindex
1850,Anorexia,2007,25,1.831546406,0.156664632,1.587344229,1.593001945,1.826984584,2.156113907,2.192591578,eating disorders,stigmaindex
1875,Anorexia,2010,25,1.879956149,0.161587452,1.460713014,1.569179744,1.886467069,2.077800698,2.146121383,eating disorders,stigmaindex
1900,Anorexia,2013,25,1.642931478,0.178361405,1.263025746,1.28013879,1.672892332,1.91147904,1.948897272,eating disorders,stigmaindex
1925,Anorexia,2016,25,1.417185752,0.179096906,0.983554736,1.1692485,1.413002819,1.712698526,1.77143836,eating disorders,stigmaindex
1950,Anxiety_Disorder,1980,5,1.320632452,0.385584855,0.722725406,0.794033075,1.477857411,1.673041294,1.699371055,mental,stigmaindex
1975,Anxiety_Disorder,1983,1,1.715500921,,1.715500921,1.715500921,1.715500921,1.715500921,1.715500921,mental,stigmaindex
2000,Anxiety_Disorder,1986,1,1.720351994,,1.720351994,1.720351994,1.720351994,1.720351994,1.720351994,mental,stigmaindex
2025,Anxiety_Disorder,1989,20,1.477390891,0.185560662,1.03060253,1.136124342,1.480360299,1.740703469,1.765246063,mental,stigmaindex
2050,Anxiety_Disorder,1992,25,1.166662149,0.219437126,0.79413338,0.846285809,1.142145336,1.626590334,1.634424359,mental,stigmaindex
2075,Anxiety_Disorder,1995,25,0.934973929,0.201987968,0.564819783,0.610926584,0.93575713,1.231519766,1.304830089,mental,stigmaindex
2100,Anxiety_Disorder,1998,25,0.923877658,0.156078998,0.618682325,0.708990443,0.897628039,1.183658025,1.369079292,mental,stigmaindex
2125,Anxiety_Disorder,2001,25,1.272818589,0.183017593,0.733074442,1.071084734,1.250636235,1.581842582,1.603360951,mental,stigmaindex
2150,Anxiety_Disorder,2004,25,1.305666156,0.183190823,1.030134842,1.036957623,1.271674573,1.593423338,1.682310343,mental,stigmaindex
2175,Anxiety_Disorder,2007,25,1.507349597,0.177712162,1.19151476,1.221755859,1.532425582,1.757860128,1.774274617,mental,stigmaindex
2200,Anxiety_Disorder,2010,25,1.433777935,0.172801298,1.02584146,1.201856698,1.411049932,1.714951262,1.767068744,mental,stigmaindex
2225,Anxiety_Disorder,2013,25,1.387912037,0.15048558,1.135885909,1.147717956,1.374290287,1.649414808,1.713356525,mental,stigmaindex
2250,Anxiety_Disorder,2016,25,1.184200374,0.1620216,0.901471511,0.912802463,1.197873265,1.447068576,1.554306239,mental,stigmaindex
2275,Arthritis,1980,25,0.849205238,0.158784767,0.518987004,0.653492741,0.824913504,1.108265608,1.13069316,musculoskeletal,stigmaindex
2300,Arthritis,1983,25,1.352854224,0.176114208,0.981716689,1.035963797,1.357857153,1.612859855,1.701999903,musculoskeletal,stigmaindex
2325,Arthritis,1986,25,1.432805339,0.123210146,1.238449201,1.242977206,1.421170712,1.616748787,1.699325949,musculoskeletal,stigmaindex
2350,Arthritis,1989,25,0.833967379,0.155404201,0.539902344,0.541280656,0.816444159,1.05407148,1.185128361,musculoskeletal,stigmaindex
2375,Arthritis,1992,25,0.416075502,0.147461447,0.116883829,0.151166212,0.412858993,0.698064152,0.752147687,musculoskeletal,stigmaindex
2400,Arthritis,1995,25,0.526548581,0.108831164,0.376835227,0.382127318,0.495117269,0.728839778,0.783264278,musculoskeletal,stigmaindex
2425,Arthritis,1998,25,0.211076573,0.101748047,0.035056987,0.083108864,0.196318263,0.42293177,0.437201984,musculoskeletal,stigmaindex
2450,Arthritis,2001,25,-0.035857458,0.115363837,-0.357284276,-0.151878991,-0.04933999,0.171569019,0.202996946,musculoskeletal,stigmaindex
2475,Arthritis,2004,25,0.252898396,0.108987485,0.062785804,0.109805494,0.252268009,0.399717224,0.403077796,musculoskeletal,stigmaindex
2500,Arthritis,2007,25,0.472222613,0.132992542,0.211184613,0.258344259,0.470736912,0.697331594,0.705800267,musculoskeletal,stigmaindex
2525,Arthritis,2010,25,0.382108483,0.10501186,0.17091343,0.244615223,0.401284495,0.543365733,0.571160633,musculoskeletal,stigmaindex
2550,Arthritis,2013,25,0.185295205,0.107010011,0.016204545,0.032167124,0.175381588,0.320570323,0.416269275,musculoskeletal,stigmaindex
2575,Arthritis,2016,25,0.457894197,0.121464235,0.244565729,0.25686574,0.463225264,0.68308849,0.70544874,musculoskeletal,stigmaindex
2600,Asthma,1980,25,1.565807015,0.176636307,1.31014666,1.350488499,1.581760466,1.96774803,2.089561433,autoimmune,stigmaindex
2625,Asthma,1983,25,1.792928699,0.161722612,1.473630518,1.480415734,1.830117077,1.993092048,2.052142203,autoimmune,stigmaindex
2650,Asthma,1986,25,1.522377293,0.148616018,1.215750158,1.323958266,1.528386623,1.736837758,1.792273968,autoimmune,stigmaindex
2675,Asthma,1989,25,1.042842036,0.130843721,0.716242045,0.801518682,1.058765791,1.236525483,1.258998275,autoimmune,stigmaindex
2700,Asthma,1992,25,0.942297476,0.111123185,0.762107328,0.802650598,0.93851687,1.125274037,1.164672941,autoimmune,stigmaindex
2725,Asthma,1995,25,0.783334189,0.101194471,0.608757477,0.627429811,0.784362942,0.932199199,0.986232027,autoimmune,stigmaindex
2750,Asthma,1998,25,0.6663407,0.068241017,0.543240041,0.567028726,0.651263364,0.789480873,0.834930196,autoimmune,stigmaindex
2775,Asthma,2001,25,0.620810101,0.112978273,0.42161596,0.468121169,0.570440913,0.80650377,0.825244561,autoimmune,stigmaindex
2800,Asthma,2004,25,0.782851977,0.090866165,0.60077424,0.634008651,0.765451074,0.911435612,0.912391022,autoimmune,stigmaindex
2825,Asthma,2007,25,0.979663226,0.117164252,0.812326327,0.826291137,0.983924404,1.159054107,1.298599228,autoimmune,stigmaindex
2850,Asthma,2010,25,1.079967952,0.085029274,0.883357637,0.94754507,1.050631374,1.226273442,1.264342435,autoimmune,stigmaindex
2875,Asthma,2013,25,0.875563265,0.132802354,0.573398747,0.603337936,0.898063555,1.033591452,1.140976787,autoimmune,stigmaindex
2900,Asthma,2016,25,1.113839583,0.096862267,0.869539373,0.970064339,1.10332115,1.280435811,1.286085874,autoimmune,stigmaindex
2925,Atherosclerosis,1980,25,1.708538758,0.165609097,1.462155566,1.473264789,1.695270658,2.030113926,2.093238592,behavioral,stigmaindex
2950,Atherosclerosis,1983,25,1.648279881,0.156414416,1.228009388,1.417474295,1.634425953,1.837251858,1.910102457,behavioral,stigmaindex
2975,Atherosclerosis,1986,25,1.749261681,0.181838426,1.356074527,1.401328214,1.792449057,1.988534349,2.037186474,behavioral,stigmaindex
3000,Atherosclerosis,1989,25,1.500570159,0.214643513,1.068003759,1.103068656,1.549561128,1.758305992,1.76926145,behavioral,stigmaindex
3025,Atherosclerosis,1992,25,1.320307255,0.18383234,1.006469853,1.04103096,1.287720844,1.633745916,1.636053503,behavioral,stigmaindex
3050,Atherosclerosis,1995,25,1.273312261,0.135488431,1.010590352,1.074565879,1.248702019,1.498166135,1.505812362,behavioral,stigmaindex
3075,Atherosclerosis,1998,25,1.346907279,0.174655716,1.022171997,1.030044673,1.362338096,1.621876451,1.657915384,behavioral,stigmaindex
3100,Atherosclerosis,2001,25,1.23284954,0.132337112,0.942094349,0.970699571,1.227156229,1.476036638,1.513843983,behavioral,stigmaindex
3125,Atherosclerosis,2004,25,1.079848927,0.178596489,0.68255109,0.797608812,1.100761518,1.346824522,1.358230226,behavioral,stigmaindex
3150,Atherosclerosis,2007,25,1.177388613,0.226867964,0.791346401,0.819175155,1.217211321,1.538385426,1.568479404,behavioral,stigmaindex
3175,Atherosclerosis,2010,25,0.970969327,0.142037595,0.711371509,0.780487893,0.949225672,1.25017529,1.320794821,behavioral,stigmaindex
3200,Atherosclerosis,2013,25,0.552769623,0.206052401,0.236062026,0.259159845,0.535814531,0.879346409,0.991254099,behavioral,stigmaindex
3225,Atherosclerosis,2016,25,0.795917821,0.207071548,0.42905872,0.480078305,0.797162542,1.05674415,1.140317874,behavioral,stigmaindex
3250,Autism,1980,25,0.088802509,0.231126666,-0.358854182,-0.317692606,0.065394115,0.452290168,0.454809789,neurodevelopmental,stigmaindex
3275,Autism,1983,25,0.320651309,0.1851577,-0.073356642,0.03248287,0.309239142,0.586762946,0.75846535,neurodevelopmental,stigmaindex
3300,Autism,1986,25,0.423608615,0.246497527,-0.144997055,0.093039177,0.458503846,0.784227374,0.806116425,neurodevelopmental,stigmaindex
3325,Autism,1989,25,0.054137416,0.203438416,-0.443342679,-0.208808914,0.087983114,0.383212012,0.448236383,neurodevelopmental,stigmaindex
3350,Autism,1992,25,0.041198116,0.141123466,-0.29102593,-0.177534444,0.0309649,0.241780374,0.312195249,neurodevelopmental,stigmaindex
3375,Autism,1995,25,-0.045622964,0.109835232,-0.265416995,-0.197477014,-0.036144672,0.093616675,0.206359908,neurodevelopmental,stigmaindex
3400,Autism,1998,25,0.090153209,0.138228864,-0.198677227,-0.149390628,0.113938578,0.279314615,0.385521464,neurodevelopmental,stigmaindex
3425,Autism,2001,25,-0.043015883,0.107956108,-0.241081193,-0.205659962,-0.044842958,0.126226221,0.137932566,neurodevelopmental,stigmaindex
3450,Autism,2004,25,0.03736792,0.097495424,-0.174959987,-0.115823795,0.051433746,0.179516583,0.222050592,neurodevelopmental,stigmaindex
3475,Autism,2007,25,0.100353055,0.101050524,-0.139469417,-0.059085163,0.128346149,0.238617498,0.295648415,neurodevelopmental,stigmaindex
3500,Autism,2010,25,0.007573029,0.101478484,-0.195021693,-0.177103424,0.02220498,0.184085011,0.192452766,neurodevelopmental,stigmaindex
3525,Autism,2013,25,-0.011492741,0.076340146,-0.124275794,-0.120782083,-0.015086366,0.136049647,0.143796317,neurodevelopmental,stigmaindex
3550,Autism,2016,25,-0.341223827,0.1099939,-0.530863333,-0.496365725,-0.370995559,-0.166530327,-0.079819551,neurodevelopmental,stigmaindex
3575,Bipolar_disorder,1980,25,1.848194246,0.218321923,1.536034852,1.53904997,1.8384552,2.182282019,2.235832214,mental,stigmaindex
3600,Bipolar_disorder,1983,25,1.752626126,0.255616473,1.021810532,1.359171257,1.787675411,2.104101218,2.125340909,mental,stigmaindex
3625,Bipolar_disorder,1986,25,1.858544518,0.214911535,1.503694952,1.622067745,1.791773915,2.180388837,2.334507823,mental,stigmaindex
3650,Bipolar_disorder,1989,25,1.707528535,0.206838269,1.367060959,1.410784743,1.695216715,2.105596316,2.124161065,mental,stigmaindex
3675,Bipolar_disorder,1992,25,1.374294914,0.176816004,1.03973788,1.116398861,1.361599356,1.705028622,1.797045529,mental,stigmaindex
3700,Bipolar_disorder,1995,25,1.67439857,0.127403593,1.459097713,1.459418849,1.716845855,1.844325439,1.875862509,mental,stigmaindex
3725,Bipolar_disorder,1998,25,1.54667596,0.160663119,1.272858217,1.29094127,1.553784192,1.850021961,1.894066036,mental,stigmaindex
3750,Bipolar_disorder,2001,25,1.28220789,0.107422495,1.075705994,1.104791736,1.290368497,1.424715958,1.519137383,mental,stigmaindex
3775,Bipolar_disorder,2004,25,1.373110857,0.141735089,1.086818254,1.189220883,1.349496048,1.5918508,1.592550978,mental,stigmaindex
3800,Bipolar_disorder,2007,25,1.454400809,0.163976063,1.083028652,1.162481741,1.476415828,1.633402263,1.694168359,mental,stigmaindex
3825,Bipolar_disorder,2010,25,1.721896331,0.134791652,1.448473945,1.459036871,1.732857257,1.920928103,1.941635773,mental,stigmaindex
3850,Bipolar_disorder,2013,25,1.376569967,0.159156919,0.96958141,1.112752792,1.391909599,1.635872966,1.678702265,mental,stigmaindex
3875,Bipolar_disorder,2016,25,1.132201584,0.157919557,0.821746647,0.907852938,1.134945415,1.387244758,1.393178448,mental,stigmaindex
3900,Borderline_disorder,1980,0,,,,,,,,mental,stigmaindex
3925,Borderline_disorder,1983,0,,,,,,,,mental,stigmaindex
3950,Borderline_disorder,1986,0,,,,,,,,mental,stigmaindex
3975,Borderline_disorder,1989,0,,,,,,,,mental,stigmaindex
4000,Borderline_disorder,1992,0,,,,,,,,mental,stigmaindex
4025,Borderline_disorder,1995,3,1.625071804,0.487889673,1.319194674,1.323122795,1.368296176,2.12217029,2.18772456,mental,stigmaindex
4050,Borderline_disorder,1998,25,1.891641374,0.284627716,1.390644953,1.428236863,1.9131549,2.271768968,2.380113304,mental,stigmaindex
4075,Borderline_disorder,2001,25,0.90441434,0.317300811,0.238783571,0.260634624,0.943316221,1.429353631,1.446985543,mental,stigmaindex
4100,Borderline_disorder,2004,25,0.942941955,0.245854216,0.238207798,0.627285973,0.949221179,1.263311886,1.38663432,mental,stigmaindex
4125,Borderline_disorder,2007,25,1.699011997,0.32679199,1.309721321,1.384762462,1.60419029,2.436607628,2.494423151,mental,stigmaindex
4150,Borderline_disorder,2010,25,1.495567108,0.233992291,0.983588777,1.021386445,1.476258963,1.845608402,1.891516834,mental,stigmaindex
4175,Borderline_disorder,2013,25,0.822776417,0.248170494,0.318458609,0.351451225,0.887370065,1.21337581,1.305115312,mental,stigmaindex
4200,Borderline_disorder,2016,25,1.682563804,0.196092904,1.4250154,1.450290296,1.642659783,2.119308847,2.165447563,mental,stigmaindex
4225,Brain_cancer,1980,25,1.823165869,0.234549361,1.425907075,1.461736467,1.844499707,2.146243473,2.215628058,cancers,stigmaindex
4250,Brain_cancer,1983,25,1.521826695,0.22676906,1.123051174,1.270436693,1.446368694,2.012563431,2.027450621,cancers,stigmaindex
4275,Brain_cancer,1986,25,1.489178056,0.147853298,1.193424195,1.245203003,1.4525536,1.815058297,1.83153078,cancers,stigmaindex
4300,Brain_cancer,1989,25,1.278923171,0.190279434,0.810040154,0.953749429,1.274183854,1.618558829,1.651758969,cancers,stigmaindex
4325,Brain_cancer,1992,25,0.866268997,0.175313316,0.572093923,0.583095422,0.889965266,1.137466882,1.230449513,cancers,stigmaindex
4350,Brain_cancer,1995,25,0.530736865,0.143976073,0.121456791,0.335292207,0.55271437,0.728015664,0.774085263,cancers,stigmaindex
4375,Brain_cancer,1998,25,0.550854957,0.13084208,0.359515714,0.388221811,0.558674768,0.746755038,0.95352345,cancers,stigmaindex
4400,Brain_cancer,2001,25,0.594527618,0.141573479,0.286993138,0.382494986,0.587316373,0.791662852,0.839820184,cancers,stigmaindex
4425,Brain_cancer,2004,25,0.383003709,0.130361813,0.000946082,0.1901918,0.386381101,0.537362161,0.662949864,cancers,stigmaindex
4450,Brain_cancer,2007,25,0.235713352,0.103489141,0.070407785,0.072627249,0.235780098,0.397276261,0.420580301,cancers,stigmaindex
4475,Brain_cancer,2010,25,0.346705511,0.109911077,0.194829307,0.197042118,0.328429222,0.540375245,0.587021649,cancers,stigmaindex
4500,Brain_cancer,2013,25,0.199526371,0.106460703,-0.06808725,0.02512791,0.201281346,0.35939247,0.362712659,cancers,stigmaindex
4525,Brain_cancer,2016,25,0.295579841,0.146858047,0.040134497,0.07796644,0.264666386,0.602811216,0.616066743,cancers,stigmaindex
4550,Breast_cancer,1980,25,0.423155343,0.194985125,-0.07569861,0.053135356,0.430221532,0.670089471,0.718797415,cancers,stigmaindex
4575,Breast_cancer,1983,25,0.525585764,0.159280805,0.149830099,0.212250711,0.526286405,0.738319917,0.794008791,cancers,stigmaindex
4600,Breast_cancer,1986,25,0.45842249,0.140573652,0.160547383,0.214416175,0.459589984,0.680272945,0.788868356,cancers,stigmaindex
4625,Breast_cancer,1989,25,0.041186005,0.095329541,-0.207200343,-0.184734648,0.05879212,0.17016314,0.186955586,cancers,stigmaindex
4650,Breast_cancer,1992,25,0.102278445,0.115323092,-0.176460108,-0.030372587,0.058177978,0.272902815,0.306198116,cancers,stigmaindex
4675,Breast_cancer,1995,25,-0.037576198,0.083141907,-0.208503835,-0.178358361,-0.029674908,0.115025278,0.146422191,cancers,stigmaindex
4700,Breast_cancer,1998,25,-0.074784031,0.091982168,-0.250648819,-0.233127088,-0.067364236,0.058441614,0.058453627,cancers,stigmaindex
4725,Breast_cancer,2001,25,-0.361514505,0.096973745,-0.502585635,-0.486752526,-0.368679836,-0.21669149,-0.134871949,cancers,stigmaindex
4750,Breast_cancer,2004,25,-0.454117505,0.105127164,-0.671426561,-0.647474143,-0.415891007,-0.311792081,-0.309479687,cancers,stigmaindex
4775,Breast_cancer,2007,25,-0.333378947,0.072912997,-0.493231378,-0.455724898,-0.341410212,-0.223941599,-0.195299104,cancers,stigmaindex
4800,Breast_cancer,2010,25,-0.290513282,0.100546667,-0.486611947,-0.464238104,-0.304988995,-0.151223113,-0.069685858,cancers,stigmaindex
4825,Breast_cancer,2013,25,-0.181763984,0.066294946,-0.297609281,-0.271860178,-0.197794442,-0.07802691,-0.050354291,cancers,stigmaindex
4850,Breast_cancer,2016,25,-0.282994542,0.106281498,-0.43458207,-0.414802216,-0.28572203,-0.093888031,-0.088084301,cancers,stigmaindex
4875,Bulimia,1980,22,1.392973706,0.366415222,0.769605956,0.801336299,1.35551557,2.036568919,2.187161326,eating disorders,stigmaindex
4900,Bulimia,1983,25,1.457747802,0.250359675,0.897539377,0.903358626,1.483039528,1.859620544,1.877876073,eating disorders,stigmaindex
4925,Bulimia,1986,25,1.843477626,0.252115003,1.412584826,1.568081638,1.794972032,2.352358023,2.41865173,eating disorders,stigmaindex
4950,Bulimia,1989,25,1.770883429,0.239235116,1.141854763,1.411736832,1.741518557,2.16908645,2.28567943,eating disorders,stigmaindex
4975,Bulimia,1992,25,2.224561648,0.139842835,1.980375081,2.044369498,2.186117858,2.463999287,2.613043219,eating disorders,stigmaindex
5000,Bulimia,1995,25,2.113236068,0.162488249,1.784973562,1.798723896,2.127266318,2.3386989,2.35198921,eating disorders,stigmaindex
5025,Bulimia,1998,25,2.180751754,0.162308862,1.848463267,1.876793746,2.170821816,2.394745123,2.518676341,eating disorders,stigmaindex
5050,Bulimia,2001,25,1.916363538,0.153691859,1.682686761,1.700801156,1.882325381,2.12999212,2.308843076,eating disorders,stigmaindex
5075,Bulimia,2004,25,1.698403062,0.152621293,1.433794379,1.437891564,1.740151256,1.894721941,1.953396887,eating disorders,stigmaindex
5100,Bulimia,2007,25,1.975358452,0.176109299,1.592576742,1.713739748,1.988514811,2.219277302,2.282858759,eating disorders,stigmaindex
